深度/m	杨氏模量/Gpa	泊松比	断裂韧性/MPa·m^0.5	水平应力差/Mpa	垂向应力差/Mpa
0.1	39	0.156	1.09	9.0	13.7
0.2	23	0.235	1.01	8.8	17.7
0.3	23	0.36	0.61	8.7	14.5
0.4	38	0.351	0.32	9.3	18.4
0.5	38	0.255	0.87	5.1	10.8
0.6	28	0.285	0.9	5.6	14.8
0.7	35	0.298	0.46	8.3	16.5
0.8	36	0.108	1.18	7.1	16.9
0.9	27	0.345	0.75	9.6	14.6
1.0	14	0.168	0.74	10.0	14.9
1.1	20	0.377	0.12	8.2	15.1
1.2	34	0.162	0.76	6.6	19.5
1.3	36	0.34	0.61	8.2	10.0
1.4	36	0.298	0.57	7.4	10.6
1.5	11	0.214	0.16	8.9	10.7
1.6	20	0.35	0.36	8.9	10.8
1.7	30	0.26	1.06	6.9	17.7
1.8	26	0.252	1.23	10.0	10.0
1.9	33	0.298	0.47	9.3	13.0
2.0	25	0.24	0.55	6.8	18.7
2.1	11	0.346	0.67	8.5	11.4
2.2	25	0.391	0.54	9.1	11.2
2.3	28	0.142	0.95	9.2	11.6
2.4	13	0.106	0.57	8.7	11.5
2.5	19	0.144	0.92	9.6	16.2
2.6	30	0.18	0.16	8.2	10.3
2.7	27	0.236	0.53	7.9	11.4
2.8	39	0.221	0.64	5.1	19.6
2.9	27	0.266	1.39	8.3	10.0
3.0	28	0.182	0.62	7.2	10.7
3.1	30	0.355	0.24	9.0	13.9
3.2	16	0.167	0.74	6.5	19.0
3.3	19	0.104	0.03	6.2	12.2
3.4	26	0.257	1.01	8.9	18.1
3.5	15	0.143	0.25	6.8	19.3
3.6	27	0.373	0.39	8.3	14.3
3.7	13	0.356	0.29	7.6	15.8
3.8	28	0.134	1.38	7.1	17.5
3.9	10	0.105	0.11	7.7	15.5
4.0	33	0.377	0.53	5.1	17.9
4.1	16	0.201	0.47	7.1	14.4
4.2	39	0.183	0.64	10.0	19.0
4.3	14	0.299	0.92	8.2	16.0
4.4	15	0.381	0.46	7.7	16.8
4.5	20	0.149	1.33	8.6	19.6
4.6	31	0.295	0.1	6.7	13.6
4.7	27	0.104	0.27	7.1	14.3
4.8	27	0.161	0.45	9.4	13.6
4.9	36	0.347	0.38	8.2	11.2
5.0	19	0.169	1.26	5.2	11.2
5.1	11	0.308	1.49	9.0	11.3
5.2	26	0.267	1.24	7.6	10.4
5.3	34	0.375	0.06	8.1	18.7
5.4	36	0.152	1.21	5.1	11.8
5.5	31	0.304	0.05	5.5	13.6
5.6	26	0.214	0.56	5.1	18.7
5.7	30	0.282	1.2	6.7	11.0
5.8	25	0.278	0.89	9.3	16.4
5.9	28	0.361	0.31	5.0	12.9
6.0	11	0.14	1.01	7.9	15.3
6.1	36	0.123	1.43	7.0	17.1
6.2	29	0.257	0.11	5.7	16.1
6.3	37	0.281	0.61	7.0	13.6
6.4	20	0.282	0.09	7.6	14.7
6.5	31	0.115	0.65	7.8	14.8
6.6	39	0.275	0.87	8.4	17.6
6.7	22	0.112	0.38	9.9	15.1
6.8	37	0.35	1.36	6.2	17.1
6.9	32	0.122	0.2	7.9	13.2
7.0	39	0.18	1.45	5.5	16.2
7.1	33	0.395	1.27	8.6	14.9
7.2	17	0.158	1.09	9.0	14.0
7.3	30	0.203	0.98	9.2	19.2
7.4	29	0.233	0.54	5.4	14.9
7.5	17	0.208	0.86	9.4	19.7
7.6	11	0.372	0.35	7.8	18.3
7.7	28	0.205	1.32	6.4	19.3
7.8	33	0.301	0.2	9.0	16.6
7.9	40	0.211	0.11	5.9	17.3
8.0	18	0.304	1.16	5.2	14.9
8.1	27	0.308	1.5	7.4	18.0
8.2	37	0.216	0.74	9.7	13.8
8.3	16	0.264	1.45	5.0	17.6
8.4	25	0.211	0.98	7.5	14.8
8.5	14	0.283	1.25	5.9	18.4
8.6	33	0.207	0.85	9.9	12.2
8.7	28	0.202	0.41	7.1	16.2
8.8	35	0.271	0.47	5.2	12.8
8.9	12	0.183	0.07	9.6	16.1
9.0	10	0.297	0.53	7.7	14.9
9.1	26	0.216	0.31	8.3	17.7
9.2	36	0.233	0.27	5.7	13.3
9.3	26	0.284	0.9	9.4	11.4
9.4	11	0.232	0.93	8.7	13.5
9.5	19	0.33	0.33	7.9	15.5
9.6	10	0.3	0.3	8.8	19.1
9.7	15	0.368	0.7	7.2	16.7
9.8	37	0.379	1.42	5.8	14.7
9.9	40	0.158	1.31	9.3	16.9
10.0	11	0.281	1.35	6.2	10.4
10.1	10	0.275	1.43	9.7	19.7
10.2	37	0.206	1.28	5.7	18.8
10.3	38	0.154	0.57	6.9	12.1
10.4	31	0.307	1.04	9.3	14.8
10.5	27	0.122	0.8	5.3	15.2
10.6	39	0.231	0.2	6.2	14.5
10.7	12	0.103	0.66	6.3	13.4
10.8	32	0.342	1.46	9.1	10.7
10.9	21	0.29	1.36	8.7	13.0
11.0	16	0.282	0.71	5.6	14.7
11.1	18	0.329	0.7	8.5	11.5
11.2	36	0.33	0.34	7.5	18.0
11.3	38	0.125	1.42	6.6	16.7
